stock_code,stock_name,stock_index,total_events,overall_success_rate,overall_avg_mdd,overall_avg_return,dominant_combo,dominant_count,best_combo,best_combo_rate,best_combo_count,worst_combo,worst_combo_rate,combo_details
035420,NAVER,KOSPI200,103,27.2,-8.87,-2.72,S(외+연+사),86,A1(외+연),36.4,11,S(외+연+사),25.6,S(외+연+사):26%/86건 | A1(외+연):36%/11건 | A2(외+사):33%/3건 | B2(연+사):33%/3건
036620,감성코퍼레이션,KOSDAQ150,30,26.7,-12.61,2.68,A1(외+연),10,S(외+연+사),66.7,3,A2(외+사),14.3,S(외+연+사):67%/3건 | A1(외+연):20%/10건 | A2(외+사):14%/7건 | B1(외+투신):17%/6건 | B2(연+사):50%/4건
003670,포스코퓨처엠,KOSPI200,101,26.7,-11.46,3.52,S(외+연+사),54,B1(외+투신),40.0,5,A1(외+연),8.8,S(외+연+사):37%/54건 | A1(외+연):9%/34건 | A2(외+사):33%/3건 | B1(외+투신):40%/5건 | B2(연+사):20%/5건
204270,제이앤티씨,KOSDAQ150,15,26.7,-14.22,-4.08,A2(외+사),7,A1(외+연),33.3,3,B1(외+투신),25.0,A1(외+연):33%/3건 | A2(외+사):29%/7건 | B1(외+투신):25%/4건 | B2(연+사):0%/1건
017960,한국카본,KOSPI200,79,26.6,-10.95,6.06,A1(외+연),27,A2(외+사),50.0,6,S(외+연+사),12.0,S(외+연+사):12%/25건 | A1(외+연):37%/27건 | A2(외+사):50%/6건 | B1(외+투신):25%/12건 | B2(연+사):22%/9건
214150,클래시스,KOSDAQ150,49,26.5,-11.47,-0.76,A1(외+연),27,A2(외+사),40.0,5,B2(연+사),0.0,S(외+연+사):14%/7건 | A1(외+연):33%/27건 | A2(외+사):40%/5건 | B1(외+투신):14%/7건 | B2(연+사):0%/3건
004990,롯데지주,KOSPI200,34,26.5,-10.6,-1.72,A1(외+연),18,S(외+연+사),50.0,2,A2(외+사),0.0,S(외+연+사):50%/2건 | A1(외+연):22%/18건 | A2(외+사):0%/3건 | B1(외+투신):33%/9건 | B2(연+사):50%/2건
141080,리가켐바이오,KOSDAQ150,98,26.5,-10.27,7.89,S(외+연+사),70,A1(외+연),60.0,10,B1(외+투신),0.0,S(외+연+사):24%/70건 | A1(외+연):60%/10건 | A2(외+사):17%/12건 | B1(외+투신):0%/2건 | B2(연+사):25%/4건
237690,에스티팜,KOSDAQ150,80,26.2,-8.65,10.02,S(외+연+사),23,B2(연+사),50.0,2,A2(외+사),16.7,S(외+연+사):30%/23건 | A1(외+연):24%/21건 | A2(외+사):17%/18건 | B1(외+투신):31%/16건 | B2(연+사):50%/2건
058610,에스피지,KOSDAQ150,73,26.0,-13.04,27.62,S(외+연+사),28,B1(외+투신),33.3,6,A1(외+연),15.4,S(외+연+사):29%/28건 | A1(외+연):15%/13건 | A2(외+사):29%/21건 | B1(외+투신):33%/6건 | B2(연+사):20%/5건
064760,티씨케이,KOSDAQ150,77,26.0,-10.1,5.66,A1(외+연),26,B2(연+사),42.9,7,A2(외+사),16.7,S(외+연+사):26%/19건 | A1(외+연):23%/26건 | A2(외+사):17%/12건 | B1(외+투신):31%/13건 | B2(연+사):43%/7건
011170,롯데케미칼,KOSPI200,62,25.8,-9.61,2.96,A1(외+연),27,B1(외+투신),50.0,4,A1(외+연),18.5,S(외+연+사):27%/22건 | A1(외+연):19%/27건 | A2(외+사):40%/5건 | B1(외+투신):50%/4건 | B2(연+사):25%/4건
166090,하나머티리얼즈,KOSDAQ150,62,25.8,-9.09,7.18,A1(외+연),24,B2(연+사),50.0,4,A2(외+사),16.7,S(외+연+사):33%/6건 | A1(외+연):21%/24건 | A2(외+사):17%/6건 | B1(외+투신):27%/22건 | B2(연+사):50%/4건
403870,HPSP,KOSDAQ150,74,25.7,-10.01,5.53,S(외+연+사),20,A2(외+사),35.0,20,B2(연+사),0.0,S(외+연+사):25%/20건 | A1(외+연):25%/16건 | A2(외+사):35%/20건 | B1(외+투신):20%/15건 | B2(연+사):0%/3건
122870,와이지엔터테인먼트,KOSDAQ150,74,25.7,-16.05,-10.29,S(외+연+사),32,B1(외+투신),57.1,7,B2(연+사),0.0,S(외+연+사):9%/32건 | A1(외+연):37%/19건 | A2(외+사):36%/14건 | B1(외+투신):57%/7건 | B2(연+사):0%/2건
183300,코미코,KOSDAQ150,63,25.4,-13.23,-0.24,A1(외+연),21,A2(외+사),42.9,7,S(외+연+사),8.3,S(외+연+사):8%/12건 | A1(외+연):33%/21건 | A2(외+사):43%/7건 | B1(외+투신):20%/20건 | B2(연+사):33%/3건
000880,한화,KOSPI200,64,25.0,-11.04,5.65,A1(외+연),23,B1(외+투신),33.3,6,A1(외+연),21.7,S(외+연+사):26%/19건 | A1(외+연):22%/23건 | A2(외+사):25%/12건 | B1(외+투신):33%/6건 | B2(연+사):25%/4건
004490,세방전지,KOSPI200,4,25.0,-7.54,-0.02,A1(외+연),2,B1(외+투신),50.0,2,A1(외+연),0.0,A1(외+연):0%/2건 | B1(외+투신):50%/2건
